year,mon,value
1984,11, 0.5494
1984,12, 0.4451
1985,01, 0.7911
1985,02, 0.5618
1985,03,-0.0814
1985,04,-0.1164
1985,05,-0.3551
1985,06, 0.1914
1985,07, 0.8537
1985,08, 0.6447
1985,09, 0.5412
1985,10, 0.4780
1985,11,-0.4045
1985,12, 0.3424
1986,01, 1.0912
1986,02, 1.6678
1986,03, 1.9636
1986,04, 1.3950
1986,05, 1.0382
1986,06, 0.8579
1986,07, 1.2420
1986,08, 0.3179
1986,09, 0.5779
1986,10, 1.2124
1986,11, 1.7951
1986,12, 1.7792
1987,01, 1.6958
1987,02, 1.7022
1987,03, 1.5495
1987,04, 1.6455
1987,05, 1.3170
1987,06, 0.2593
1987,07, 1.3570
1987,08, 1.8927
1987,09, 1.6028
1987,10, 1.0144
1987,11, 1.2864
1987,12, 0.8169
1988,01, 0.5242
1988,02, 0.8479
1988,03, 0.9961
1988,04, 0.8421
1988,05, 0.7250
1988,06, 0.4474
1988,07, 0.2344
1988,08,-0.2581
1988,09,-0.5508
1988,10, 0.0947
1988,11, 0.1404
1988,12,-0.0029
1989,01,-0.8528
1989,02,-0.8529
1989,03,-0.7658
1989,04, 0.2308
1989,05, 0.4552
1989,06, 0.3390
1989,07, 0.4284
1989,08,-0.0664
1989,09,-0.0243
1989,10,-0.2011
1989,11,-0.3874
1989,12, 0.1934
1990,01,-0.0563
1990,02,-0.7733
1990,03,-0.5834
1990,04, 0.2423
1990,05, 0.1069
1990,06, 0.0336
1990,07, 0.1104
1990,08, 0.0715
1990,09, 0.3120
1990,10,-0.3912
1990,11,-1.1860
1990,12,-1.6505
1991,01,-1.3272
1991,02,-0.5858
1991,03,-0.5605
1991,04,-0.8284
1991,05,-0.8895
1991,06,-1.7356
1991,07,-0.8744
1991,08,-0.3286
1991,09, 0.3445
1991,10, 0.6723
1991,11, 0.6611
1991,12,-0.0262
1992,01, 0.1616
1992,02, 0.4081
1992,03, 0.5071
1992,04, 0.8902
1992,05, 1.6238
1992,06, 1.4945
1992,07, 1.8710
1992,08, 1.1309
1992,09, 0.7277
1992,10, 1.1368
1992,11, 1.2378
1992,12, 0.4435
1993,01,-0.0026
1993,02, 0.2602
1993,03, 0.6692
1993,04, 1.2264
1993,05, 1.9242
1993,06, 2.3150
1993,07, 1.6171
1993,08, 1.8792
1993,09, 1.3518
1993,10, 1.3594
1993,11, 1.0637
1993,12, 0.6966
1994,01, 1.0934
1994,02, 0.6469
1994,03, 0.6426
1994,04, 0.8729
1994,05, 0.8681
1994,06, 0.4360
1994,07,-0.1740
1994,08,-0.2738
1994,09,-0.9190
1994,10,-0.7641
1994,11,-1.6355
1994,12,-1.8868
1995,01,-0.4977
1995,02, 0.3507
1995,03, 0.7950
1995,04, 0.7486
1995,05, 0.9509
1995,06, 0.9212
1995,07, 1.4680
1995,08, 0.2367
1995,09, 1.3935
1995,10, 0.6559
1995,11, 0.3210
1995,12, 0.7715
1996,01, 0.9696
1996,02, 0.9504
1996,03, 0.9253
1996,04, 1.5036
1996,05, 2.2219
1996,06, 1.5443
1996,07, 0.6022
1996,08, 0.0025
1996,09, 0.6374
1996,10, 0.5198
1996,11, 0.4666
1996,12, 0.1159
1997,01, 0.5557
1997,02, 0.7188
1997,03, 0.6871
1997,04, 1.0747
1997,05, 1.9899
1997,06, 2.7152
1997,07, 1.7264
1997,08, 2.4896
1997,09, 1.9980
1997,10, 1.9028
1997,11, 1.5184
1997,12, 0.9542
1998,01, 1.2312
1998,02, 1.6529
1998,03, 1.7207
1998,04, 0.7457
1998,05, 0.2085
1998,06, 0.1177
1998,07,-0.3158
1998,08,-0.0203
1998,09,-0.9372
1998,10,-1.3723
1998,11,-0.3823
1998,12,-0.5223
1999,01,-0.2757
1999,02,-0.6509
1999,03,-0.5259
1999,04,-1.0965
1999,05,-1.4512
1999,06,-1.6324
1999,07,-1.3149
1999,08,-1.2723
1999,09,-1.5528
1999,10,-1.7723
1999,11,-1.6878
1999,12,-1.3216
2000,01,-1.5358
2000,02,-0.7145
2000,03,-0.2172
2000,04,-0.0793
2000,05,-0.1622
2000,06,-0.0289
2000,07,-0.5711
2000,08,-0.8821
2000,09,-0.8976
2000,10,-0.6702
2000,11,-0.4816
2000,12, 0.2154
2001,01, 0.6658
2001,02, 0.3210
2001,03, 0.0923
2001,04,-0.6283
2001,05,-0.3733
2001,06,-0.6628
2001,07,-1.2922
2001,08,-0.8833
2001,09,-1.3387
2001,10,-1.1733
2001,11,-0.7046
2001,12,-0.7812
2002,01,-0.1930
2002,02,-0.8023
2002,03,-0.6251
2002,04,-0.6400
2002,05,-1.0254
2002,06,-0.5291
2002,07,-0.3211
2002,08, 0.2521
2002,09, 0.1036
2002,10, 0.1445
2002,11, 1.0837
2002,12, 1.5521
2003,01, 1.5245
2003,02, 1.2518
2003,03, 1.1233
2003,04, 0.5578
2003,05, 0.1835
2003,06, 0.1099
2003,07, 0.6213
2003,08, 0.8764
2003,09, 0.1402
2003,10, 1.0136
2003,11, 0.0453
2003,12,-0.2561
2004,01, 0.0854
2004,02, 0.0851
2004,03, 0.4634
2004,04, 0.4619
2004,05, 0.9264
2004,06,-0.0119
2004,07, 0.6246
2004,08, 0.9845
2004,09, 0.7190
2004,10,-0.1519
2004,11,-0.7325
2004,12,-0.4884
2005,01, 0.2237
2005,02, 0.5461
2005,03, 0.9934
2005,04, 0.8321
2005,05, 1.7982
2005,06, 1.2126
2005,07, 0.5775
2005,08, 0.3050
2005,09,-0.4324
2005,10,-1.2665
2005,11,-1.3126
2005,12, 0.0574
2006,01, 0.8046
2006,02, 0.7239
2006,03,-0.0463
2006,04,-0.0884
2006,05,-0.0607
2006,06, 0.3965
2006,07, 0.6315
2006,08,-0.3559
2006,09,-0.8467
2006,10,-0.0907
